Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-029171,2020-07,07/04/2020 17:28,Y, , ,1, , 43012,3,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,0,S 7TH ST / LYNCH ST,21, , , , ,903469.1,1007184
20-029241,2020-07,07/04/2020 17:30,Y, , ,1, , 51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3519,PENNSYLVANIA AVE,19, , ,3519,PENNSYLVANIA,896161.6,1004492
20-029170,2020-07,07/04/2020 17:58,Y, , ,1, , 41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4478,DR MARTIN LUTHER KING DR,54, ,SIDEWALK, , ,892193.8,1028364
20-029296,2020-07,07/04/2020 18:00,Y, , ,1, , 64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,6023,WATERMAN BLVD,46, , ,6023,WATERMAN,878696.2,1025834
20-029282,2020-07,07/04/2020 18:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,1508,S 14TH ST,33, , ,1508,14TH,904188.9,1012853
20-029265,2020-07,07/04/2020 18:00,Y, , ,1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3953,HOLLY HILLS AVE,3, , ,3953,HOLLY HILLS,886983.4,995202.2
20-029300,2020-07,07/04/2020 18:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,942,LAUREL ST,48, , ,942,LAUREL,881090.1,1029295
20-029495,2020-07,07/04/2020 19:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3734,VIRGINIA AVE,19, , ,3735,VIRGINIA,894812.9,1003206
20-029361,2020-07,07/04/2020 19:00,Y, , ,1, , 69702,3,LARCENY-ALL OTHER UNDER $500,3448,MIAMI ST,19, , ,3448,MIAMI,894028.4,1004280
20-029183,2020-07,07/04/2020 19:09,Y, , ,1, , 10000,5,HOMICIDE,500,DE BALIVIERE AVE,47, , , , ,881661.2,1026094
20-029177,2020-07,07/04/2020 19:45,Y, , ,1, ,265100,1,SAFETY-FIREWORKS VIOLATION,4015,MERAMEC ST,16, , ,4015,MERAMEC,890420.6,1002477
20-029190,2020-07,07/04/2020 20:00,Y, , ,1, , 67701,4,LARCENY-FROM BUILDING UNDER $500,607,N GRAND BLVD,77, , ,607,GRAND,896930.7,1021874
20-029186,2020-07,07/04/2020 20:00,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3529,BINGHAM AVE,16, , ,3529,BINGHAM,893494.5,999826.4
20-029392,2020-07,07/04/2020 20:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,4136,TAFT AVE,5, , ,4136,TAFT,887775.6,1002122
20-029277,2020-07,07/04/2020 20:00,Y, , ,1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,S GRAND BLVD / OSCEOLA ST,16, , , , ,892907.1,999679.2
20-029182,2020-07,07/04/2020 20:04,Y, , ,1, ,250000,4,LOITERING-BEGGING,0,N 2ND ST / MORGAN ST,35, , , , ,910388.7,1018707
20-029181,2020-07,07/04/2020 20:06,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,1117,N 18TH ST,61, , ,1117,18TH,904887.3,1021519
20-029426,2020-07,07/04/2020 20:30,Y, , ,1, , 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,1900,BIDDLE ST,61, , ,1919,OFALLON,904478.7,1021861
20-029191,2020-07,07/04/2020 20:45,Y, , ,1, ,265100,1,SAFETY-FIREWORKS VIOLATION,6607,VERMONT AVE,1, , ,6601,VERMONT,890365.4,992040.6
20-029188,2020-07,07/04/2020 20:50,Y, , ,1, ,265100,1,SAFETY-FIREWORKS VIOLATION,3943,BURGEN AVE,3, , ,3943,BURGEN,888120.2,997101.8
20-029185,2020-07,07/04/2020 20:52,Y, , ,1, ,265100,1,SAFETY-FIREWORKS VIOLATION,3943,BURGEN AVE,3, , ,3943,BURGEN,888120.2,997101.8
20-029200,2020-07,07/04/2020 21:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4014,OLIVE ST,38, , ,4014,UNION,893793.5,1022824
20-029309,2020-07,07/04/2020 21:00,Y, , ,1, , 91114,4,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",1421,DODIER ST,63, , ,1421,DODIER,906181,1026594
20-029196,2020-07,07/04/2020 21:00,Y, , ,1, , 42015,1,ASSLT-AGGRV-KNIFE/CUT-2ND-ADULT-DOMESTIC,4723,VIRGINIA AVE,16, , ,4723,VIRGINIA,893311.4,996899.9
20-029260,2020-07,07/04/2020 21:00,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1426,ANGELICA ST,65, , ,1426,ANGELICA,905161.4,1031280
20-030728,2020-07,07/04/2020 21:00,Y, , ,1, , 51322,2,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,4311,HUNT AVE,39, , ,4311,HUNT,889718.6,1016012
20-029199,2020-07,07/04/2020 21:10,Y, , ,1, , 38111,6,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,5926,HARNEY AVE,76, , , , ,890980.9,1045769
20-029192,2020-07,07/04/2020 21:20,Y, , ,1, , 44013,2,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 3RD DEGRE",5644,CHIPPEWA ST,7, ,REAR,5644,CHIPPEWA,880452.1,1004693
20-029211,2020-07,07/04/2020 21:30,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5481,CLAXTON AVE,71, ,SINGLE FAMILY HOME,5481,CLAXTON,894316.5,1042257
20-029194,2020-07,07/04/2020 21:30,Y, , ,1, ,265100,1,SAFETY-FIREWORKS VIOLATION,4635,VIRGINIA AVE,16, , ,4635,VIRGINIA,893435.3,997452.6
20-029203,2020-07,07/04/2020 21:30,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2003,E OBEAR AVE,66, ,RESIDENCE,2003,OBEAR,903198.5,1033394
20-029263,2020-07,07/04/2020 21:30,Y, , ,1, , 71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,6514,HANCOCK AVE,9, , ,6514,HANCOCK,877162.7,1007513
20-029197,2020-07,07/04/2020 21:40,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,3977,DELOR ST,5, , ,3977,DELOR,888856.6,999405.7
20-029198,2020-07,07/04/2020 21:49,Y, , ,1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,8706,GOODFELLOW BLVD,73, , ,8706,GOODFELLOW,891118.9,1050591
20-029202,2020-07,07/04/2020 21:50,Y, , ,1, , 38111,4,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,806,S BROADWAY,35,BP GAS STATION, ,806,BROADWAY,908058.7,1014118
20-029625,2020-07,07/04/2020 22:00,Y, , ,1, , 43014,5,ASSLT-AGGRAV-OTH-WPN-1ST-ADULT-DOMESTIC,1515,N KINGSHIGHWAY BLVD,52, ,@WOHL REC CENT, , ,887936,1031116
20-029215,2020-07,07/04/2020 22:00,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4478,NATURAL BRIDGE AVE,56, ,#1153634,4478,NATURAL BRIDGE,894689.3,1033170
20-029424,2020-07,07/04/2020 22:00,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,5151,WATERMAN BLVD,38, , ,5151,WATERMAN,886048.9,1025276
20-029201,2020-07,07/04/2020 22:22,Y, , ,1, ,265100,1,SAFETY-FIREWORKS VIOLATION,510,HURCK ST,2, , ,510,HURCK,886555.6,987387.4
20-029269,2020-07,07/04/2020 22:30,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6200,N BROADWAY,79,SUPER 8 MOTEL, ,6200,BROADWAY,900459.2,1038662
20-029467,2020-07,07/04/2020 22:30,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4400,LEXINGTON AVE,56, , ,4400,LEXINGTON,895264.3,1032459
20-030609,2020-07,07/04/2020 22:30,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1504,S GRAND BLVD,31, , ,1504,GRAND,895003.3,1014854
20-029307,2020-07,07/04/2020 22:30,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4609,LABADIE AVE,56, , ,4609,LABADIE,893038.4,1032055
20-029285,2020-07,07/04/2020 22:30,Y, , ,1, , 69702,2,LARCENY-ALL OTHER UNDER $500,1511,S 39TH ST,28, , ,1915,OLIVE,893301.8,1015101
20-029258,2020-07,07/04/2020 22:30,Y, , ,1, , 72130,1,AUTO THEFT-TRUCK/PERM RETNT/JOY RIDE,0,ALFRED AVE / BINGHAM AVE,5, , ,4351,BINGHAM,886793.9,1003704
20-029214,2020-07,07/04/2020 22:38,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,412,BLASE AVE,74, , ,412,BLASE,897614,1046331
20-029204,2020-07,07/04/2020 22:45,Y, , ,1, ,241100,1,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,505,HURCK ST,2, ,CITY STREET,505,HURCK,886730.2,987484.8
20-029206,2020-07,07/04/2020 22:48,Y, , ,1, , 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,0,BIRCHER BLVD / QUEENS AVE,71, , ,5245,NATURAL BRIDGE,892680.8,1039107
20-029306,2020-07,07/04/2020 23:00,Y, , ,1, , 64701,5,LARCENY-FROM MTR VEH UNDER $500,275,UNION BLVD,47, , ,275,UNION,884536.7,1024563
20-029220,2020-07,07/04/2020 23:00,Y, , ,1, , 91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",1015,GOODFELLOW BLVD,48, , ,1015,GOODFELLOW,881318.1,1029864
20-029286,2020-07,07/04/2020 23:00,Y, , ,1, , 69602,4,"LARCENY-ALL OTHER $500 - $24,999",923,OFALLON ST,62, , ,923,OFALLON,908581.4,1021217
20-029326,2020-07,07/04/2020 23:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,INDIANA AVE / UTAH ST,22, , ,3249,INDIANA,899210.8,1005697
20-029413,2020-07,07/04/2020 23:00,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,0,ADELAIDE / WEST FLORISSANT,68, , ,5453,ENRIGHT,0,0
20-029387,2020-07,07/04/2020 23:05,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,3655,POTOMAC ST,15, , ,3655,POTOMAC,892893.3,1005291
20-029226,2020-07,07/04/2020 23:06,Y, , ,1, , 10000,5,HOMICIDE,4247,PAGE BLVD,58, , , , ,894002.4,1026556
20-029213,2020-07,07/04/2020 23:15,Y, , ,1, , 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1121,E GANO AVE,66, , ,1121,GANO,904076.2,1034702
20-029213,2020-07,07/04/2020 23:15,Y, , ,1, , 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1121,E GANO AVE,66, , ,1121,GANO,904076.2,1034702
20-029213,2020-07,07/04/2020 23:15,Y, , ,1, , 41021,6,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,1121,E GANO AVE,66, , ,1121,GANO,904076.2,1034702
20-029210,2020-07,07/04/2020 23:20,Y, , ,1, , 41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1301,HOGAN ST,61, ,@JEFFERSON SCHOOL,1301,HOGAN,904929.9,1022372
20-029210,2020-07,07/04/2020 23:20,Y, , ,1, , 41021,4,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,1301,HOGAN ST,61, ,@JEFFERSON SCHOOL,1301,HOGAN,904929.9,1022372
20-029209,2020-07,07/04/2020 23:20,Y, , ,1, , 41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,0,CARR ST / N TUCKER BLVD,62, ,STREET, , ,907290.6,1020689
20-029209,2020-07,07/04/2020 23:20,Y, , ,1, , 41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,0,CARR ST / N TUCKER BLVD,62, ,STREET, , ,907290.6,1020689
20-029315,2020-07,07/04/2020 23:27,Y, , ,1, , 64701,6,LARCENY-FROM MTR VEH UNDER $500,0,W FLORISSANT AVE / PARK LN,76, , , , ,891180.2,1047035
20-029212,2020-07,07/04/2020 23:32,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,0,S BOYLE AVE / CLAYTON AVE,38, , , , ,890658.2,1019370
20-029228,2020-07,07/04/2020 23:45,Y, , ,1, , 41013,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,7617,S BROADWAY,2,ROSE GOLD EVENTS, ,7617,BROADWAY,889232.9,988188.5
20-029283,2020-07,07/05/2020 00:01,Y, , ,1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,601,CLARK AVE,35,BALLPARK VILLAGE, ,601,CLARK,908223.8,1016086
20-029345,2020-07,07/05/2020 00:01,Y, , ,1, , 69602,3,"LARCENY-ALL OTHER $500 - $24,999",3181,GRAVOIS AVE,25, , ,3181,GRAVOIS,895731.5,1007019
20-029304,2020-07,07/05/2020 00:01,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5707,WOODLAND AVE,72, ,DOWNSTAIRS AP,5707,WOODLAND,889648.5,1042492
20-029403,2020-07,07/05/2020 00:01,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4263,E SAN FRANCISCO AVE,68, , ,4263,SAN FRANCISCO,897067.9,1032638
20-029224,2020-07,07/05/2020 00:03,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,0,CHIPPEWA ST / HAMPTON AVE,7, ,@MCDONALDS, , ,879018.3,1005017
20-029217,2020-07,07/05/2020 00:06,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,I 70 WESTBOUND / MADISON ST,63, ,ALIAS WB 70/MADISON ST CITY, , ,908505,1024640
20-029328,2020-07,07/05/2020 00:10,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,4001,N BROADWAY,64, , ,4001,BROADWAY,906545.2,1031460
20-029219,2020-07,07/05/2020 00:15,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,0,N KINGSHIGHWAY BLVD / PAGE BLV,53, , , , ,888176.6,1029215
20-029221,2020-07,07/05/2020 00:23,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,4654,VIRGINIA AVE,16, , ,4654,VIRGINIA,893553.3,997182.9
20-029272,2020-07,07/05/2020 00:30,Y, , ,1, , 41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1621,N 1ST ST,64, , ,1621,1ST,910626.9,1022779
20-029288,2020-07,07/05/2020 00:30,Y, , ,1, , 66601,2,"LARCENY-BICYCLES $500 - $24,999",4408,BECK AVE,15, , ,4408,BECK,886888.3,1004394
20-029225,2020-07,07/05/2020 00:30,Y, , ,1, , 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,868,WALL ST,74, , ,868,WALL,896758.9,1050859
20-029235,2020-07,07/05/2020 00:44,Y, , ,1, , 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3500,N KINGSHIGHWAY BLVD,55, , , , ,890901.9,1034923
20-029235,2020-07,07/05/2020 00:44,Y, , ,1, , 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3500,N KINGSHIGHWAY BLVD,55, , , , ,890901.9,1034923
20-029237,2020-07,07/05/2020 00:45,Y, , ,1, , 41014,3,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,3500,HARTFORD ST,25, , ,3182,GRAND,894523.8,1008024
20-029234,2020-07,07/05/2020 00:47,Y, , ,1, ,265100,4,SAFETY-FIREWORKS VIOLATION,1100,ST CHARLES ST,35, , , , ,907318.9,1018732
20-029230,2020-07,07/05/2020 00:50,Y, , ,1, , 42011,1,AGG.ASSAULT-KNIFE/CITIZEN ADULT 1ST DEGREE,4317,S BROADWAY,17, ,@PHILLIPS 66, , ,896982.3,999337.2
20-029229,2020-07,07/05/2020 00:54,Y, , ,1, ,130000,4,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",901,MARKET ST,35,CITY GARDEN, , , ,907531.8,1017164
20-029267,2020-07,07/05/2020 01:00,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4346,GIBSON AVE,39, , ,4346,GIBSON,889886.7,1017698
20-029231,2020-07,07/05/2020 01:01,Y, , ,1, , 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4903,GOODFELLOW BLVD,70, , , , ,887456.6,1043890
20-029248,2020-07,07/05/2020 01:10,Y, , ,1, , 42011,3,AGG.ASSAULT-KNIFE/CITIZEN ADULT 1ST DEGREE,0,S 14TH ST / CHOUTEAU AVE,33, ,ROADSIDE, , ,904719.3,1014572
20-029236,2020-07,07/05/2020 01:15,Y, , ,1, , 38422,2,ROBBERY CARJACKING /STRNGARM/NO INJ/ATTEMPT,3675,MCREE AVE,29, , , , ,893985.7,1014182
20-029242,2020-07,07/05/2020 01:24,Y, , ,1, , 91114,6,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",0,GILMORE AVE / LILLIAN AVE,72, , , , ,889605.2,1043312
20-029242,2020-07,07/05/2020 01:24,Y, , ,1, , 91114,6,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",0,GILMORE AVE / LILLIAN AVE,72, , , , ,889605.2,1043312
20-029242,2020-07,07/05/2020 01:24,Y, , ,1, , 91124,6,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",0,GILMORE AVE / LILLIAN AVE,72, , , , ,889605.2,1043312
20-029261,2020-07,07/05/2020 01:30,Y, , ,1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4140,GRAVOIS AVE,16,TIME OUT BAR & GRILL, , , ,889688.7,1003320
20-029240,2020-07,07/05/2020 01:30,Y, , ,1, , 43013,6,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,4958,DAVISON AVE,72, , ,4958,DAVISON,890959.9,1041270
20-029273,2020-07,07/05/2020 02:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3914,MICHIGAN AVE,16, , ,3914,MICHIGAN,895287.2,1001984
20-029274,2020-07,07/05/2020 02:00,Y, , ,1, , 64701,5,LARCENY-FROM MTR VEH UNDER $500,1019,N SKINKER PKWY,48, , ,1019,SKINKER,878976.1,1030954
20-029251,2020-07,07/05/2020 02:20,Y, , ,1, ,211000,6,DUI-DRVING WHILE INTOXICATED,5752,LILLIAN AVE,72, , ,5752,LILLIAN,889689.4,1043151
20-029246,2020-07,07/05/2020 02:20,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,N 4TH ST / CONVENTION PZ,35, , , , ,909712,1018864
20-029247,2020-07,07/05/2020 02:30,Y, , ,1, , 69703,4,LARCENY-ALL OTH/FRM PRSN/UNDER $500,0,N TUCKER BLVD / WASHINGTON AVE,35, , , , ,906851.2,1019079
20-029250,2020-07,07/05/2020 02:51,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,711,N BROADWAY,35, ,@HOTEL- DRURY INN CONVENTION CENTER,711,BROADWAY,909211,1018825
20-029294,2020-07,07/05/2020 03:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3442,CONNECTICUT ST,25, , ,3442,CONNECTICUT,894565.3,1007206
20-029271,2020-07,07/05/2020 03:00,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4462,PENROSE ST,69, , ,4462,PENROSE,895926,1035082
20-029249,2020-07,07/05/2020 03:15,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4971,HIGHLAND AVE,55, , ,4971,HIGHLAND,889570.6,1032193
20-029252,2020-07,07/05/2020 03:20,Y, , ,1, , 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,1000,WASHINGTON AVE,35, , ,1000,WASHINGTON,907483,1018737
20-029255,2020-07,07/05/2020 03:25,Y, , ,1, , 83000,2,ARSON-KNOWINGLY BURNING/SUCCESS,6818,MANCHESTER AVE,10, , ,6888,MANCHESTER,875380.8,1013462
20-029254,2020-07,07/05/2020 03:30,Y, , ,1, , 69602,6,"LARCENY-ALL OTHER $500 - $24,999",652,E HOLLY AVE,79, , ,652,HOLLY,901660,1037976
20-029293,2020-07,07/05/2020 03:32,Y, , ,1, , 69602,2,"LARCENY-ALL OTHER $500 - $24,999",4801,OLEATHA AVE,15, , ,4801,OLEATHA,886238.2,1005863
20-029312,2020-07,07/05/2020 04:00,Y, , ,1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1000,WASHINGTON AVE,35, , ,1000,WASHINGTON,907483,1018737
20-029303,2020-07,07/05/2020 04:23,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4318,PAGE BLVD,58, ,RESIDENCE,4318,PAGE,893090.3,1026760
20-029253,2020-07,07/05/2020 04:33,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,0,HAMPTON AVE / I 64 EASTBOUND,41, ,ACCIDENT HAPPED ON 40 EAST HIGHWAY 6, , ,881185.9,1018744
20-029259,2020-07,07/05/2020 06:00,Y, , ,1, , 67601,6,"LARCENY-FROM BUILDING $500 - $24,999",5507,BEACON AVE,72, , ,5518,BEACON,893051.6,1043347
20-029262,2020-07,07/05/2020 06:30,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5558,COTE BRILLIANTE AVE,50, , ,5558,COTE BRILLIANTE,884952.4,1033299
20-029696,2020-07,07/05/2020 07:00,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1000,WASHINGTON AVE,35, , ,1000,WASHINGTON,907483,1018737
20-029459,2020-07,07/05/2020 08:00,Y, , ,1, , 69702,3,LARCENY-ALL OTHER UNDER $500,1108,MACKAY PL,32, , ,1108,MACKAY,901538.9,1014837
20-029280,2020-07,07/05/2020 09:50,Y, , ,1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1101,SALISBURY ST,65,BP GAS STATION, ,101,SALISBURY,906367.1,1029962
20-029469,2020-07,07/05/2020 10:00,Y, , ,1, , 64601,5,"LARCENY-FROM MTR VEH $500 - $24,999",5138,HIGHLAND AVE,52, , ,5100,HIGHLAND,888323.6,1032650
20-029275,2020-07,07/05/2020 10:15,Y, , ,1, ,241100,6,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,6001,W FLORISSANT AVE,73, , ,6001,FLORISSANT,891175.6,1047253
20-029279,2020-07,07/05/2020 10:31,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,1118,DESTREHAN ST,65, , ,1118,DESTREHAN,906595.9,1029103
20-029278,2020-07,07/05/2020 10:33,Y, , ,1, ,152200,1,WEAPONS-CITY VIOL/DISCHRGING IN CITY,3224,MERAMEC ST,16, ,SOUTH ALLEY,3224,MERAMEC,894318.1,1000135
20-031081,2020-07,07/05/2020 12:00,Y, , ,1, , 66701,5,LARCENY-BICYCLES UNDER $500,3949,LINDELL BLVD,38, , ,3949,LINDELL,893684.9,1021926
20-029873,2020-07,07/05/2020 12:00,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6660,HANCOCK AVE,9, , ,6066,HANCOCK,876129.4,1007659
20-029295,2020-07,07/05/2020 12:20,Y, , ,1, , 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",221,UPTON ST,2, ,3RD FLR,221,UPTON,889607.9,989046.6
20-029516,2020-07,07/05/2020 13:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,265,UNION BLVD,47, , ,265,UNION,884536.7,1024563
20-030135,2020-07,07/05/2020 13:17,Y, , ,1, , 44013,4,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 3RD DEGRE",200,S TUCKER BLVD,35, ,@CJC,200,TUCKER,906343.9,1016785
20-029678,2020-07,07/05/2020 14:00,Y, , ,1, , 72113,6,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,8610,DRURY LN,73, , ,8610,DRURY,892781.1,1049480
20-030122,2020-07,07/05/2020 14:00,Y, , ,1, , 64701,1,LARCENY-FROM MTR VEH UNDER $500,4967,DELOR ST,7, , ,4967,DELOR,882982.1,1001229
20-029494,2020-07,07/05/2020 14:00,Y, , ,1, , 67701,2,LARCENY-FROM BUILDING UNDER $500,6637,BERTHOLD AVE,44,OAKPARK NURSING HOME, ,6637,BERTHOLD,877633.2,1018692
20-029308,2020-07,07/05/2020 14:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2907,CRITTENDEN ST,25, , ,2907,CRITTENDEN,897087.4,1008178
20-029305,2020-07,07/05/2020 14:02,Y, , ,1, ,266510,1,PUBLIC ORDER-TRESPASSING,7907,PENNSYLVANIA AVE,2, ,VACANT BUILDING,7909,PENNSYLVANIA,888332.4,987708.1
20-029311,2020-07,07/05/2020 14:30,Y, , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",800,OLIVE ST,35, , ,800,OLIVE,907992.6,1017744
20-029322,2020-07,07/05/2020 14:30,Y, , ,1, , 51122,3,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,2300,S 11TH ST,21, ,GARAGE,2300,11TH,903299,1009390
20-029323,2020-07,07/05/2020 14:30,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,0,AUBERT AVE / FOUNTAIN AVE,53, , , , ,888368.6,1027628
20-029327,2020-07,07/05/2020 15:00,Y, , ,1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3318,LEMP AVE,22, , ,3318,LEMP,900752.9,1005107
20-029310,2020-07,07/05/2020 15:01,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,0,HARNEY AVE / UNION BLVD,71, ,INTERSECTION, , ,893871.1,1041446
20-029318,2020-07,07/05/2020 15:05,Y, , ,1, ,130000,3,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",2309,S JEFFERSON AVE,24, , ,2309,JEFFERSON,899379.5,1010100
20-029314,2020-07,07/05/2020 15:08,Y, , ,1, , 91113,1,SIMPLE ASSAULT-ADULT/NO INJURY,5240,BANCROFT AVE,7, ,RESIDENCE,5240,BANCROFT,882742.9,1003721
