Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-032126,2020-07,03/07/2018 00:01,Y, , ,1, , 91123,3,SIMPLE ASSAULT-CHILD/NO INJURY,3644,KOSCIUSKO ST,18, , ,3644,KOSCIUSKO,901120.1,1002738
20-012203,2020-07,03/07/2020 00:01,Y, , ,1, , 91114,2,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4236,JUNIATA ST,15, , ,4236,JUNIATA,888915.9,1008162
20-022704,2020-07,03/11/2020 09:00,Y, , ,1, ,121000,2,EMBEZZLEMENT-VALUE OVER $150,1,CAMPBELL PLZ,13,GCI SECURITY, ,1,CAMPBELL,880886.1,1009386
20-011765,2020-07,03/11/2020 13:04,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,325,N NEWSTEAD AVE,38, ,@MARIAN HALL, , ,890374.3,1023427
20-034567,2020-07,03/11/2020 15:00,Y, , ,1, , 69702,2,LARCENY-ALL OTHER UNDER $500,1232,LOUISVILLE AVE,42, , ,1232,LOUISVILLE,878118.9,1017518
20-027110,2020-07,03/17/2020 18:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5587,DR MARTIN LUTHER KING DR,50, , ,5587,DR MARTIN LUTHER KING,884332,1032835
20-027116,2020-07,03/20/2020 23:45,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5835,SELBER CT,50, , ,5835,SELBER,885052.8,1037952
19-012583,2020-07,03/21/2019 22:00, , , ,-1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR, , ,35, , , , ,0,0
20-014358,2020-07,03/23/2020 15:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1010,N KINGSHIGHWAY BLVD,53,KINGS AUTO REPAIR, ,1010,KINGSHIGHWAY,887950,1027523
20-014383,2020-07,03/23/2020 18:00,Y, , ,1, , 51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4050,ST LOUIS AVE,56, , ,4050,ST LOUIS,897052.9,1029161
20-013668,2020-07,03/25/2020 07:30,Y, , ,1, ,264100,1,HEALTH-SANITATION VIOL,6617,VIRGINIA AVE,1, , ,6617,VIRGINIA,890511,991750.4
20-031912,2020-07,03/27/2020 11:30,Y, , ,1, ,264100,3,HEALTH-SANITATION VIOL,3612,NEBRASKA AVE,19, , ,3612,NEBRASKA,896577.4,1003811
20-029851,2020-07,03/28/2020 12:27,Y, , ,1, ,264100,5,HEALTH-SANITATION VIOL,4352,MARYLAND AVE,38, , ,4352,MARYLAND,890528.2,1023101
